id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
4640,5787612506037945249,-8343355656267982511,2060,426362434662,-1004482228130,8528,1,0,1
4632,5879740843027338527,1043739803753829625,2059,"426362434662,426362434662",-1004482228130,8517,0,0,0
4647,5981160366804047713,-4320352880631922201,2063,687229846531,-1004482228130,8536,5,0,5
4651,5471992127007245881,-4825749045899500428,281,755780681559,-1004482228130,8540,3,0,3
4650,5902426220334678090,-40300456166967965,398,974609541585,-1004482228130,8539,3,0,3
4634,5433871814059100296,-1577439322413091132,517,"706302919753,616554609597,616554609597",-1004482228130,8519,14,0,14
4649,6019603794436817187,-1461487762231968067,,994985901817,-1004482228130,8538,0,1,1
5310,5980986918844761616,-542542727901501116,223,"239675946514,210965998732,383092039780",-1004482228130,9418,29,0,29
4638,4988054852979392765,-1883924568559547501,225,426362434662,-1004482228130,8525,6,0,6
10202,5985592635614564487,3623832542947355606,1310,413739000844,-1004482228130,16700,4,0,4
7856,5233237729701027092,-3299199461949229882,942,812649641749,-1004482228130,13111,2,0,2
10207,5801040433526083912,1260006270820710618,3748,951313012753,-1004482228130,16707,5,0,5
4639,6010447211924564153,7139286435368399625,225,"958249908971,462628741767",-1004482228130,8527,7,0,7
4641,211016948752843398,8112695092322753289,225,971657212338,-1004482228130,8530,3,0,3
4654,5773735767352284342,-2869554339101952974,2064,257206398811,-1004482228130,8545,8,0,8
4652,5981160366804047724,-1876442370314987268,54,"687229846531,323273455984,312759452298,136486185997",-1004482228130,8543,39,1,40
4648,5965305220152954206,5360237901942222035,"323,335,1069",140289111734,-1004482228130,8537,6,0,6
10273,5807822839721496682,7890194471195154136,3765,172105222291,-1004482228130,16809,7,0,7
10355,5803142626743949882,1326001554907263691,3781,706986751636,-1004482228130,16939,4,0,4
10136,5832465811582751694,1661837807816364179,164,245143586034,-1004482228130,16604,5,0,5
4660,5888919136599282112,-4638111210237693145,2067,478701691965,-1004482228130,8554,0,0,0
4661,5888919136599282113,-9010615833806629861,2068,478701691965,-1004482228130,8556,0,0,0
4662,5888919136599282109,-7793786644670585162,2069,478701691965,-1004482228130,8557,0,0,0
4663,5888919136599282110,-7509913321822798056,2069,478701691965,-1004482228130,8558,0,0,0
4664,5888919136599282111,3774464905234499727,2069,478701691965,-1004482228130,8559,0,0,0
10288,5796630850732824067,9049112939658927638,2043,824142047736,-1004482228130,16829,14,0,14
10287,5800906649589783301,-3305290388699990604,965,"563388874988,248275867936",-1004482228130,16828,2,0,2
10324,5798612505693526997,998169390387964319,3776,357041318124,-1004482228130,16888,1,0,1
3203,6010447211924574295,-701090533701260391,"1527,1633","929819142165,929819142165",-1004482228130,6771,5,5,10
10347,5249055776424594121,2354046843509200219,1739,996405937084,-1004482228130,16921,2,0,2
4665,5958369174387426141,-7066939391639792560,958,858030157299,-1004482228130,8561,11,0,11
4686,5467756176856852801,-529831207929579050,1731,213478247449,-1004482228130,8589,1,0,1
10423,5812099239873879194,-8174190120722643188,"3806,1203",280468269439,-1004482228130,17041,10,0,10
4687,5276180406159281588,1318831402543769573,2075,717899694521,-1004482228130,8590,1,0,1
4682,5336912184322576759,6676209402853331210,885,140289111734,-1004482228130,8582,7,0,7
4659,5958593689507857699,2084797633519817923,958,858030157299,-1004482228130,8553,8,0,8
4684,5904533172376308938,2384352923469878583,1883,929819142165,-1004482228130,8585,4,1,5
4668,6010447211924566083,-7276219158891095901,1527,929819142165,-1004482228130,8566,2,1,3
4676,6010447211924572164,-3775674136109542371,885,"929819142165,531869172519",-1004482228130,8574,15,0,15
4683,6028436635199214892,-3043647571978300988,"295,1713,1714",123317730197,-1004482228130,8584,3,0,3
7857,5865984745678050852,-1189048861596815553,3031,165501917790,-1004482228130,13112,4,0,13
4669,6051037517614945547,-2557714755931528902,"1527,2071,2072",929819142165,-1004482228130,8567,3,2,5
4674,5958303160740086961,2090492053576089611,1008,929819142165,-1004482228130,8572,2,0,2
4675,5427023398511333110,4282374723639921693,28,756372794491,-1004482228130,8573,3,0,3
10722,5413795199887345975,6206487831522519055,3250,"666167540785,801392618851",-1004482228130,17522,4,0,4
4666,5960995705802720204,-3060997533533840637,958,858030157299,-1004482228130,8563,6,1,7
4680,5926965704958940124,-2251575198343513087,"17,230","123317730197,288354675743",-1004482228130,8580,6,0,6
4685,5845963339015917936,-5185997053041974820,885,"263021605118,497893661469",-1004482228130,8586,6,0,6
10197,5782902790930044687,-6152712758121864639,,616554609597,-1004482228130,16691,4,0,4
4694,5967757019413743776,9173953281620959841,2081,438071472030,-1004482228130,8600,0,0,0
10306,5812230708822811789,8919168600754137961,298,210965998732,-1004482228130,16868,8,0,8
10258,5780454260139364139,-77033689335562139,"228,295,695","929819142165,929819142165",-1004482228130,16787,23,1,24
4699,5981160366804047789,6838316981798792454,"473,1875",314462754950,-1004482228130,8606,0,0,0
4702,5309951446244918544,-4311066200369036707,67,756372794491,-1004482228130,8609,0,0,0
1553,5886624013450484002,7527289416746502275,482,"801346475500,141424594667",-1004482228130,4887,18,0,18
4707,5343618045610836499,621204904537567664,2084,117886705769,-1004482228130,8615,0,0,0
602,5810109647813611276,-7694145221075914345,"435,436","817321833631,929819142165",-1004482228130,3818,6,0,6
4706,5771512700869809949,485769752460466454,"2083,165",929819142165,-1004482228130,8614,3,0,3
4690,5253533979910360484,3172239116012627940,2079,315631053874,-1004482228130,8594,2,0,2
4712,5976647459982546901,3980930457979385598,2087,849733476327,-1004482228130,8620,4,0,4
7858,5866482330524195915,-6852517293245897821,942,463689773804,-1004482228130,13113,1,0,1
4697,5251419717834395662,2235444326518478467,"2074,68",270247321047,-1004482228130,8603,6,0,6
4713,6016913796289795251,5284123293303456360,"2088,1227","929819142165,365660435784",-1004482228130,8621,2,0,2
4693,6010447211924564813,3481568859363704886,2080,929819142165,-1004482228130,8599,2,0,2
10364,5958753814478588974,9154401918839446132,1072,666167540785,-1004482228130,16955,4,0,4
4710,5981160366804047797,9013206146885858087,,165501917790,-1004482228130,8618,4,0,4
4689,5947018421932659306,-526216030143748288,"2076,2077,2078",135161241107,-1004482228130,8593,2,0,2
